Path,Source,Target,Beta,Boot_Mean,Std_Error,t_value,p_value,CI_2.5%,CI_97.5%,Significant_0.05,f2,f2_interpretation
PjBL -> RPP,PjBL,RPP,0.03001077276971222,0.034451394602192716,0.04473395525683321,0.7701396937604839,0.4412170322687259,-0.055095248580187176,0.12256926921414621,No,0.007447868294627319,Negligible
ESD -> RPP,ESD,RPP,0.34455163651798093,0.3380784148065443,0.040464396223464254,8.354960072541536,0.0,0.2635434077640925,0.423164318262455,Yes,2.3991300216944995,Large
STEM -> RPP,STEM,RPP,0.48369278159354756,0.48522879174383904,0.0369962852225108,13.115608467863044,0.0,0.4120325158202212,0.5561341818239092,Yes,5.444318004497574,Large
TPACK -> RPP,TPACK,RPP,0.4248270820294901,0.41820924170589585,0.0368595951917755,11.346007451520007,0.0,0.34499556366490186,0.4906324862402845,Yes,2.7825878666923125,Large
