Construct,R2,Communality,Redundancy,AVE
ESD,0.380390069542618,0.7194069280572223,0.273655251393128,0.7194069280572223
PjBL,0.0,0.6873419626834023,0.0,0.6873419626834023
RPP,0.9772033749023527,1.0,0.9772033749023527,1.0
STEM,0.46591238759261777,0.4786574382612917,0.22301242989928444,0.4786574382612917
TPACK,0.5288603776435217,0.4173694373831505,0.22073015827131723,0.4173694373831506
