Construct,Predictors,PRESS,SSO,Q2,Q2_positive
TPACK,PjBL,47.184503397224574,94.99999999999999,0.5033210168713202,Yes
STEM,PjBL,54.16372558517806,94.99999999999999,0.42985552015602035,Yes
ESD,PjBL,61.23826910690301,95.00000000000004,0.35538664097996864,Yes
RPP,"PjBL, TPACK, STEM, ESD",2.460176832561756,95.00000000000001,0.9741034017625079,Yes
