Indirect_Path,Estimate_Original,Boot_Mean,Std_Error,t_value,p_value,CI_2.5%,CI_97.5%,VAF,Mediation_Type,z_Sobel,p_Sobel
PjBL -> TPACK -> RPP,0.3089460947825836,0.30593951026140603,0.03506416513013773,8.72513317017351,0.0,0.23898137270372935,0.3749402702053418,0.3504301265294282,Partial mediation,8.685682325213937,0.0
PjBL -> STEM -> RPP,0.33015793154257617,0.33269874139354805,0.03314018819633293,10.039132530646349,0.0,0.2705348611527727,0.40064821140397755,0.3744902029157532,Partial mediation,9.051771473025495,0.0
PjBL -> ESD -> RPP,0.2125048773932999,0.20851138684825551,0.031192582025546634,6.684646582879394,2.3148150063434514e-11,0.1511014292415295,0.2748532756157182,0.2410391726280294,Partial mediation,6.334669704516285,2.378501839928049e-10
Total indirect,0.8516089037184597,0.8471496385032097,0.040309067732465474,21.016354040381433,0.0,0.7690148981048055,0.9284977451855977,,NA,,
Direct effect,0.03001077276971222,0.034451394602192716,0.04473395525683321,0.7701396937604839,0.4412170322687259,-0.055095248580187176,0.12256926921414621,,NA,,
Total effect,0.8816196764881719,0.8816010331054022,0.020525345770400636,42.951823709432894,0.0,0.8379332917238258,0.9172166937913114,,NA,,
