Path,Source,Target,Beta,Boot_Mean,Std_Error,t_value,p_value,CI_2.5%,CI_97.5%,Significant_0.05,f2,f2_interpretation
PjBL -> RPP,PjBL,RPP,0.039623156116943455,0.042581227954570644,0.0415275526500632,1.0253729208023974,0.3051872603243635,-0.03786038444195397,0.12737369398406462,No,0.014649403052691226,Negligible
ESD -> RPP,ESD,RPP,0.3403761932429894,0.33451478517132244,0.039520638396995836,8.464306214161525,0.0,0.2612469761675351,0.4174829878288584,Yes,2.546386459868853,Large
STEM -> RPP,STEM,RPP,0.4826005872547408,0.48448721696477687,0.03587912594965552,13.503317155623979,0.0,0.41375069763420763,0.5533373122132551,Yes,5.784722681439202,Large
TPACK -> RPP,TPACK,RPP,0.41954441056629427,0.41375317400844297,0.035530438444954536,11.64503428938681,0.0,0.34300764357271657,0.4834164611394399,Yes,2.986508144768385,Large
