,PjBL,TPACK,STEM,ESD,RPP
PjBL,1.0,0.8458954634935346,0.8760783991917226,0.7255971798830173,
TPACK,0.8458954634935346,1.0,0.7702131583092859,0.29847938281382336,
STEM,0.8760783991917226,0.7702131583092859,1.0,0.4564554559999853,
ESD,0.7255971798830173,0.29847938281382336,0.4564554559999853,1.0,
RPP,,,,,1.0
