Path,Source,Target,Beta,Boot_Mean,Std_Error,t_value,p_value,CI_2.5%,CI_97.5%,Significant_0.05,f2,f2_interpretation,Rank
PjBL -> TPACK,PjBL,TPACK,0.7177838768997044,0.7221351145742437,0.05325213773231933,13.560678412652187,0.0,0.6057498688595498,0.8113699300066817,Yes,1.062764536650089,Large,1
PjBL -> STEM,PjBL,STEM,0.6712598448641935,0.6753976743205398,0.05634592734964546,11.9866280685997,0.0,0.5578127792908069,0.775372514482362,Yes,0.8201335948487367,Large,2
PjBL -> ESD,PjBL,ESD,0.6115867755381463,0.6125731375120739,0.06479554379588748,9.453939293136289,0.0,0.4819693855588066,0.733417423743634,Yes,0.5975420448480073,Large,3
