Path,from,to,direct,indirect,total
PjBL -> ESD,PjBL,ESD,0.6115867755381463,0.0,0.6115867755381463
PjBL -> STEM,PjBL,STEM,0.6712598448641935,0.0,0.6712598448641935
PjBL -> TPACK,PjBL,TPACK,0.7177838768997044,0.0,0.7177838768997044
PjBL -> RPP,PjBL,RPP,0.039623156116943455,0.8332621873752909,0.8728853434922343
ESD -> RPP,ESD,RPP,0.3403761932429894,0.0,0.3403761932429894
STEM -> RPP,STEM,RPP,0.4826005872547408,0.0,0.4826005872547408
TPACK -> RPP,TPACK,RPP,0.41954441056629427,0.0,0.41954441056629427
