Indirect_Path,Estimate_Original,Boot_Mean,Std_Error,t_value,p_value,CI_2.5%,CI_97.5%,VAF,Mediation_Type,z_Sobel,p_Sobel
PjBL -> TPACK -> RPP,0.301142213547876,0.2987706935090899,0.033797750842813355,8.839957868753256,0.0,0.23461590283621825,0.36400560064576765,0.34499629967787987,Partial mediation,8.881895971928481,0.0
PjBL -> STEM -> RPP,0.323950395331986,0.32684506754881504,0.03326699500984433,9.824905058364768,0.0,0.2648227672180043,0.39457557745845756,0.37112594196613174,Partial mediation,8.918178484775796,0.0
PjBL -> ESD -> RPP,0.2081695784954289,0.20462743707122547,0.030807185176381157,6.642198431945886,3.090394606886093e-11,0.1475041204186055,0.2695164364495351,0.23848444706676514,Partial mediation,6.362085962685498,1.9903190207060106e-10
Total indirect,0.833262187375291,0.8302431981291305,0.037878334272317,21.918682911458053,0.0,0.7555532840596042,0.9053431501105821,,NA,,
Direct effect,0.039623156116943455,0.042581227954570644,0.0415275526500632,1.0253729208023974,0.3051872603243635,-0.03786038444195397,0.12737369398406462,,NA,,
Total effect,0.8728853434922345,0.8728244260837011,0.022953018308844948,38.02656427749017,0.0,0.8222457101342188,0.9128227989625898,,NA,,
