Construct,AVE,Cronbach_Alpha,Composite_Reliability,AVE_OK_0.50,CR_OK_0.70,Alpha_OK_0.70
ESD,0.719889838419427,0.8071710689665277,0.8862653054701919,Yes,Yes,Yes
PjBL,0.7007023842311895,0.85745923513453,0.9035060492190858,Yes,Yes,Yes
RPP,0.9999999999999993,,1.0,Yes,Yes,No
STEM,0.4795530770606601,0.6940834341869653,0.8136455857291082,No,Yes,No
TPACK,0.4176358302946531,0.765729166097767,0.8336919665446643,No,Yes,Yes
